2026-07-17 03:50:52,295 - spinquant - INFO - Rotation applied
2026-07-17 03:50:52,295 - spinquant - INFO - Quantization bits W: 16,A: 16, KV: 16
2026-07-17 03:50:52,295 - spinquant - INFO - Quantization group size W: per-token, A: per-channel, KV: 128
2026-07-17 03:50:53,145 - spinquant - INFO - R1: True, R2: False, R3: False, R4: True
2026-07-17 03:50:57,939 - spinquant - INFO - LayerNorm Fusion Applied For R1 Transform
2026-07-17 03:51:12,589 - spinquant - INFO - Applying R4 Transform
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.0.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.1.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.2.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.3.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.4.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.5.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.6.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.7.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.8.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
2026-07-17 03:51:32,093 - spinquant - WARNING - model.layers.9.mlp.down_proj: full Hadamard is not supported for intermediate_dim=17408. Falling back to block Hadamard with block_size=1024, num_blocks=17.
